method,life_bin,mean_risk,alert_rate,n_windows
Empirical PCA,0.0-0.2,0.01341955057261214,0.03850931677018633,805
Empirical PCA,0.2-0.4,0.013473410522252986,0.05871388630009319,1073
Empirical PCA,0.4-0.6,0.01799723624334246,0.1195551436515292,1079
Empirical PCA,0.6-0.8,0.04504981626147581,0.4323062558356676,1071
Empirical PCA,0.8-1.0,0.12299907993172851,0.9348441926345609,706
DRO-PCA,0.0-0.2,0.01341955057261214,0.03850931677018633,805
DRO-PCA,0.2-0.4,0.013473410522252984,0.05871388630009319,1073
DRO-PCA,0.4-0.6,0.017997236243342457,0.1195551436515292,1079
DRO-PCA,0.6-0.8,0.045049816261475806,0.4323062558356676,1071
DRO-PCA,0.8-1.0,0.12299907993172851,0.9348441926345609,706
